
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D8:E8:44:58:1F:29, 2025-10-20 13:56:31, 2025-10-20 13:57:18, 10, 360, WPA2, CCMP, PSK, -78,       20,        0,   0.  0.  0.  0,   5, Redaa, 
E4:CA:12:C0:DC:C2, 2025-10-20 13:56:31, 2025-10-20 13:57:18, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -44,      140,        1,   0.  0.  0.  0,   6, CARLOS, 
28:77:77:C5:12:6C, 2025-10-20 13:56:31, 2025-10-20 13:57:18, 10, 130, WPA2, CCMP TKIP, PSK, -72,       26,        0,   0.  0.  0.  0,   7, CasaEli, 
3C:A7:AE:5B:AA:CA, 2025-10-20 13:56:31, 2025-10-20 13:57:19, 10, 360, WPA2, CCMP TKIP, PSK, -33,      172,        0,   0.  0.  0.  0,   3, 102, 
68:FF:7B:8B:F9:F6, 2025-10-20 13:56:31, 2025-10-20 13:57:13, 11, 405, WPA2 WPA, CCMP TKIP, PSK, -73,       23,        0,   0.  0.  0.  0,  17, ELEDesignuniverso, 
E8:81:75:AD:D1:FC, 2025-10-20 13:56:31, 2025-10-20 13:57:17,  2, 360, WPA2, CCMP TKIP, PSK, -38,      117,       17,   0.  0.  0.  0,   9, garygonza, 
C0:94:AD:3B:00:04, 2025-10-20 13:56:31, 2025-10-20 13:57:15,  1, 130, WPA2, CCMP TKIP, PSK, -76,       28,        0,   0.  0.  0.  0,   8, INDOOR3X, 
B8:DD:71:DD:69:54, 2025-10-20 13:56:31, 2025-10-20 13:57:12,  1, 130, WPA2, CCMP, PSK, -77,       31,        0,   0.  0.  0.  0,   5, Casa1, 
E8:81:75:AA:65:6C, 2025-10-20 13:56:31, 2025-10-20 13:57:18,  3, 360, WPA2, CCMP TKIP, PSK, -70,      138,        0,   0.  0.  0.  0,   8, EPdesign, 
5C:3A:3D:A7:96:6D, 2025-10-20 13:56:31, 2025-10-20 13:57:16,  3, 130, WPA2, CCMP, PSK, -74,       74,        0,   0.  0.  0.  0,   6, Alexis, 
A0:09:2E:AC:C5:6A, 2025-10-20 13:56:31, 2025-10-20 13:56:31,  1, 360, WPA2, CCMP TKIP, PSK, -80,        1,        0,   0.  0.  0.  0,   7, AleTere, 
3C:A7:AE:5B:7C:3E, 2025-10-20 13:56:31, 2025-10-20 13:57:13,  7, 360, WPA2, CCMP TKIP, PSK, -72,       41,        0,   0.  0.  0.  0,   5, Jessi, 
C8:5A:9F:A8:30:A0, 2025-10-20 13:56:31, 2025-10-20 13:56:50,  7, 130, WPA2, CCMP, PSK, -78,        2,        0,   0.  0.  0.  0,   6, Joseme, 
80:AF:CA:3F:DA:CC, 2025-10-20 13:56:31, 2025-10-20 13:57:16,  8, 130, WPA2, CCMP, PSK, -70,       98,        1,   0.  0.  0.  0,  10, Obra Cufre, 
C0:51:5C:0A:9B:12, 2025-10-20 13:56:31, 2025-10-20 13:57:19,  7, 360, WPA2, CCMP, PSK, -61,      116,        0,   0.  0.  0.  0,   8, Apto 103, 
82:AF:CA:2F:DA:CC, 2025-10-20 13:56:31, 2025-10-20 13:57:16,  8, 130, WPA2, CCMP, PSK, -68,       76,        0,   0.  0.  0.  0,   0, , 
A0:09:2E:A9:B7:0C, 2025-10-20 13:56:33, 2025-10-20 13:56:52,  2, 360, WPA2, CCMP TKIP, PSK, -79,        6,        0,   0.  0.  0.  0,   7, Cecilia, 
44:13:D0:9F:A8:ED, 2025-10-20 13:56:33, 2025-10-20 13:57:19,  4, 130, WPA2, CCMP, PSK, -53,      167,        9,   0.  0.  0.  0,   8, Federico, 
C0:51:5C:0D:B3:12, 2025-10-20 13:56:33, 2025-10-20 13:56:43,  2, 360, WPA2, CCMP TKIP, PSK, -80,        4,        0,   0.  0.  0.  0,   7, CasaEli, 
CC:29:BD:57:85:40, 2025-10-20 13:56:33, 2025-10-20 13:57:19,  3, 360, WPA2, CCMP, PSK, -73,       24,        1,   0.  0.  0.  0,   8, Apto 105, 
92:38:F5:64:3E:D1, 2025-10-20 13:56:33, 2025-10-20 13:57:19,  6,  65, WPA2, CCMP, PSK, -71,      105,       23,   0.  0.  0.  0,   7, DCU_PRR, 
E8:81:75:AA:8C:54, 2025-10-20 13:56:35, 2025-10-20 13:57:16,  9,  -1, WPA, ,   , -81,        0,        8,   0.  0.  0.  0,   0, , 
34:36:54:AA:1A:00, 2025-10-20 13:56:36, 2025-10-20 13:56:55,  4, 130, WPA2, CCMP, PSK, -81,        6,        0,   0.  0.  0.  0,   5, Anto , 
